Username,Comment
@cyruxgaming127,"Sir ,can you make a video on Samsung tablets,there are many options in that so can you make a video specifically for all samsung tablets....."
@TechAsh1,Who got motorola ad like here 
@Koushik_99x,From where I can get the official trackpad keyboard for Xiaomi pad 7
@debojitnath2178,Apne Lenovo pro tablet nehi dekha kya??
@kanhaiyalalgupta6183,Sir poco c71 ke upar ek video bnao na please
@Kaustav9020,Ipad 11th gen is not worth buying
@ShivamKumar-lt7qr,Sir.. samsung galaxy s9 fe plus ka video bana do ...lu ya na.....bahut sare video dekha pr confuse hoon
@SiddharthKumar-ci3qd,Sir under 40 k best phone ka video kab ayega
@UtkarshKale-q5w,Sir OnePlus Pad. 28999 ko hai aacha hei kya
@ViratGaliyan,Iam watching in poco pad 5g 
@mr.huzaifa09,BEST 5G TABLET FOR (STUDENT)
@sudiptasarkar9049,"Sir me primarily gaming ,then multimedia consumption after that...normal use k liye ek tablet search kr raha hu, to long term k liye kyuki me bar bar invest nahi kr payunga, to kya ipad lena chahiye? Yafir lenovo ya mipad 7 konsa best hoga please thora help kijiye ga"
@AniketUpadhyay-z8h,Upcoming kya koi achha tablet 25000 tak aayega
@rashyaj,Hello I would like to know how do you get mobile phone from china ?
@mrigankadas8435,Where is Galaxy tab s9 fe plus?
@tw11world61,"How I get students discount on iPad 11th gen 
Where this option com plz reply"
@SS.production-u,Should we buy macbook air m1 or m2 in 2025 as a diploma student.
@Killerff39-n3d,1:30 1:33 1:33 1:34 1:34 1:34 1:34 1:34
@cartoondhamaka-js8te,Vivox200pro and xiomi 15ultra compare kijiya
@ViratGaliyan,Iam watching in poco pad 5g 
@MadinaMobile-m3b,Sir  vivo v50 pro Launch date
@JeetMondal-nt7gp,Video on Best mobile under 25k
@deepakbagade2363,"Sir.... Please tell me lowest price me (only) best study  digitaly notes making with Stylus pen and big screen ke liye kon tablet le 
Please suggest me I'm waiting for your valuable answer"
@kartiknarang208,Can you please tell me that xiaomi pad 7 will conect with mobile hotspot or not ?
@rajkumargaur1733,Moto ka add dekhkar kon a raha hai
@abhayjayesh,"That non laminated display of iPad just isn't good enough to enjoy content viewing, had iPad 10th gen for 5 months now sold it.."
@amstatus9454,"HARD REQUEST 
VIVO T3 ULTRA AFTER FUNTUCH OS 15 ANDROID 15 UPDATE KE BAAD NIGHT CAMERA AKDAM KHARB HO GYA KUCH BHI SHOW NHI HO RHA . AE PROBLEM KAY NEXT UPDATED KE BAAD THIK HOGA YA FIR SERVICE CENTRE JAKE BOLNA PADEGA PLZ SUGGEST ME ."
@ArvindKumar-m8c3g,Sir i 'm your biggest fan hr vedio dekhta hu sr 
@kapilvanik,Good information tablet video 
